,Hotel Name,Address,Rating (5),Price (2)
5784,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5785,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5786,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5787,Madeline,"MS Nagar, West Pune",4.4,900
5788,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5789,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5790,Mughal's,"MF Road, West Pune",5.0,1000
5791,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5792,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5793,High Garden,"GS Bapat Road, West Pune",4.2,1000
5794,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5795,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5796,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5797,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5798,Wok Toss,TG West Pune,4.7,1000
5799,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5800,Fountain House,HG West Pune,4.4,1500
5801,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5802,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5803,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5804,Little Italy,"IS Nagar, West Pune",4.1,1500
5805,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5806,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5807,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5808,Madeline,"MS Nagar, West Pune",4.4,900
5809,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5810,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5811,Mughal's,"MF Road, West Pune",5.0,1000
5812,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5813,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5814,High Garden,"GS Bapat Road, West Pune",4.2,1000
5815,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5816,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5817,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5818,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5819,Wok Toss,TG West Pune,4.7,1000
5820,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
